Sequence,Date,Value1,Value2,Value3,Value4,Value5,Value6
1138,2009-12-24,04,25,18,15,36,02
1137,2009-12-22,21,28,19,25,50,43
1136,2009-12-19,07,31,32,37,43,34
1135,2009-12-16,05,04,19,39,06,23
1134,2009-12-12,29,36,56,22,09,51
1133,2009-12-09,16,05,58,39,10,21
1132,2009-12-05,52,30,27,12,55,33
1131,2009-12-02,49,34,36,01,16,08
1130,2009-11-28,23,49,32,54,18,05
1129,2009-11-25,47,19,17,12,32,55
1128,2009-11-21,60,08,39,52,24,16
1127,2009-11-18,24,08,14,05,29,30
1126,2009-11-14,59,31,57,04,52,42
1125,2009-11-11,07,42,56,29,33,03
1124,2009-11-07,49,11,07,18,16,33
1123,2009-11-04,19,04,39,14,45,60
1122,2009-10-31,49,44,56,26,46,55
1121,2009-10-28,18,04,59,54,56,17
1120,2009-10-24,50,55,07,35,44,40
1119,2009-10-21,44,54,41,45,34,10
1118,2009-10-17,55,44,08,20,43,21
1117,2009-10-14,27,35,40,01,06,17
1116,2009-10-10,17,20,04,47,09,13
1115,2009-10-07,44,41,18,50,37,30
1114,2009-10-03,16,03,22,54,25,15
1113,2009-09-30,47,36,29,59,03,06
1112,2009-09-26,04,34,52,32,58,43
1111,2009-09-23,04,43,25,09,33,32
1110,2009-09-19,26,45,06,28,42,14
1109,2009-09-16,11,52,14,06,29,08
1108,2009-09-12,60,44,07,39,43,09
1107,2009-09-09,36,20,54,09,03,53
1106,2009-09-05,04,15,50,60,43,47
1105,2009-09-02,43,01,50,28,57,15
1104,2009-08-29,03,35,58,49,02,06
1103,2009-08-26,41,19,10,28,55,56
1102,2009-08-22,46,23,09,35,11,51
1101,2009-08-19,07,12,57,06,24,10
1100,2009-08-15,41,33,17,18,07,42
1099,2009-08-12,55,44,38,35,14,31
1098,2009-08-08,30,20,21,11,50,52
1097,2009-08-05,21,48,33,01,56,17
1096,2009-08-01,03,41,52,14,13,16
1095,2009-07-29,27,23,36,10,21,16
1094,2009-07-25,10,09,48,36,41,21
1093,2009-07-22,27,49,38,23,41,19
1092,2009-07-18,40,30,01,09,33,34
1091,2009-07-15,27,56,17,24,49,23
1090,2009-07-11,24,09,40,20,36,42
1089,2009-07-08,37,48,32,02,18,20
1088,2009-07-04,24,42,35,31,06,57
1087,2009-07-01,36,46,28,32,03,20
1086,2009-06-27,45,04,06,23,10,02
1085,2009-06-24,39,50,21,12,40,55
1084,2009-06-20,20,05,29,59,40,33
1083,2009-06-17,20,28,42,23,10,43
1082,2009-06-13,04,40,50,17,55,38
1081,2009-06-10,09,56,29,52,16,24
1080,2009-06-06,56,11,20,41,34,18
1079,2009-06-03,36,12,37,24,05,28
1078,2009-05-30,03,06,45,34,41,43
1077,2009-05-27,11,06,18,05,37,09
1076,2009-05-23,32,33,10,19,42,04
1075,2009-05-20,53,39,16,21,10,12
1074,2009-05-16,03,47,10,50,29,23
1073,2009-05-13,44,36,32,08,34,25
1072,2009-05-09,19,18,54,47,43,09
1071,2009-05-06,05,37,43,07,53,54
1070,2009-05-02,41,53,08,23,05,16
1069,2009-04-29,28,17,49,53,45,09
1068,2009-04-25,44,48,25,57,27,47
1067,2009-04-22,14,10,56,25,04,28
1066,2009-04-18,10,43,49,32,25,06
1065,2009-04-15,07,57,19,43,39,30
1064,2009-04-11,28,04,19,16,49,29
1063,2009-04-08,49,01,22,47,44,50
1062,2009-04-04,55,08,02,37,23,33
1061,2009-04-01,09,41,56,23,21,30
1060,2009-03-28,01,41,03,18,16,42
1059,2009-03-25,37,01,14,45,12,16
1058,2009-03-21,20,51,57,45,24,18
1057,2009-03-18,15,49,59,04,03,02
1056,2009-03-14,38,08,50,53,59,06
1055,2009-03-11,27,32,15,12,20,16
1054,2009-03-07,41,27,13,60,14,18
1053,2009-03-04,15,42,27,53,34,49
1052,2009-02-28,08,11,16,15,57,52
1051,2009-02-25,57,11,07,43,10,13
1050,2009-02-21,60,14,45,24,33,26
1049,2009-02-18,34,17,52,05,02,29
1048,2009-02-14,57,03,38,21,28,16
1047,2009-02-11,01,02,10,48,14,08
1046,2009-02-07,57,40,28,42,54,55
1045,2009-02-04,31,06,05,17,50,01
1044,2009-01-31,58,10,39,11,13,35
1043,2009-01-28,25,14,51,48,60,21
1042,2009-01-24,25,46,51,18,13,30
1041,2009-01-21,12,10,36,54,44,57
1040,2009-01-17,44,01,28,55,06,39
1039,2009-01-14,52,02,20,27,36,24
1038,2009-01-10,51,07,06,28,35,43
1037,2009-01-07,56,36,04,44,46,53
1036,2009-01-03,27,39,36,10,41,52
1035,2008-12-31,51,60,01,11,59,26
1034,2008-12-27,20,42,01,03,49,18
1033,2008-12-24,39,06,05,33,54,17
1032,2008-12-20,57,43,15,29,26,16
1031,2008-12-17,49,33,24,40,46,43
1030,2008-12-13,57,08,54,01,23,37
1029,2008-12-10,17,05,16,24,20,32
1028,2008-12-06,54,26,34,51,20,52
1027,2008-12-03,20,18,47,44,60,33
1026,2008-11-29,10,33,51,53,06,17
1025,2008-11-26,52,40,29,27,28,10
1024,2008-11-22,28,53,18,39,22,29
1023,2008-11-19,45,40,02,07,18,08
1022,2008-11-16,31,21,40,39,56,05
1021,2008-11-12,42,55,51,43,02,33
1020,2008-11-08,19,32,52,01,02,39
1019,2008-11-05,29,47,04,13,46,23
1018,2008-11-01,55,51,58,09,44,24
1017,2008-10-29,31,51,19,06,56,34
1016,2008-10-25,11,09,25,05,60,20
1015,2008-10-22,49,08,28,03,26,17
1014,2008-10-18,60,57,09,25,08,41
1013,2008-10-15,07,09,20,41,12,19
1012,2008-10-11,47,19,58,14,40,55
1011,2008-10-08,30,02,52,21,11,35
1010,2008-10-04,02,46,03,37,13,54
1009,2008-10-01,34,12,01,06,58,29
1008,2008-09-27,07,15,42,48,34,13
1007,2008-09-24,49,27,04,36,52,37
1006,2008-09-20,48,17,04,33,55,02
1005,2008-09-17,06,41,04,37,12,42
1004,2008-09-13,45,47,29,40,44,43
1003,2008-09-10,10,27,23,05,16,26
1002,2008-09-06,03,31,07,25,40,58
1001,2008-09-03,15,37,27,12,60,51
1000,2008-08-30,49,58,53,39,38,29
0999,2008-08-27,44,36,55,58,18,24
0998,2008-08-23,28,21,04,32,03,22
0997,2008-08-20,18,53,55,32,09,17
0996,2008-08-16,21,23,20,07,29,15
0995,2008-08-13,04,54,55,36,16,31
0994,2008-08-09,44,40,58,29,03,20
0993,2008-08-06,26,25,42,60,05,24
0992,2008-08-02,06,08,04,01,25,28
0991,2008-07-30,08,38,60,41,15,09
0990,2008-07-26,29,18,02,15,10,39
0989,2008-07-23,38,21,27,02,29,32
0988,2008-07-19,48,17,46,56,60,08
0987,2008-07-16,47,27,13,31,34,58
0986,2008-07-12,32,06,31,24,15,19
0985,2008-07-09,04,56,18,59,46,16
0984,2008-07-05,46,20,04,43,47,10
0983,2008-07-02,38,45,40,16,32,22
0982,2008-06-28,12,24,08,40,43,49
0981,2008-06-25,08,41,53,01,58,34
0980,2008-06-21,35,17,59,15,36,29
0979,2008-06-18,28,03,39,51,31,15
0978,2008-06-14,42,58,12,18,16,27
0977,2008-06-11,17,03,09,32,07,05
0976,2008-06-07,28,53,38,23,14,25
0975,2008-06-04,33,09,37,40,41,30
0974,2008-05-31,45,20,38,31,16,12
0973,2008-05-28,53,36,08,30,01,47
0972,2008-05-24,33,18,15,56,31,34
0971,2008-05-21,04,14,33,44,11,45
0970,2008-05-17,57,34,05,54,28,21
0969,2008-05-14,56,35,50,13,41,25
0968,2008-05-10,30,04,13,60,51,01
0967,2008-05-07,18,14,57,30,13,05
0966,2008-05-03,01,58,26,28,04,41
0965,2008-04-30,36,39,57,58,05,30
0964,2008-04-26,42,13,33,20,08,26
0963,2008-04-23,37,17,15,50,48,59
0962,2008-04-19,02,48,49,40,55,11
0961,2008-04-16,16,53,02,04,21,36
0960,2008-04-12,34,06,33,18,53,19
0959,2008-04-09,57,03,05,11,33,39
0958,2008-04-05,13,22,07,33,51,48
0957,2008-04-02,50,32,25,34,57,24
0956,2008-03-29,46,51,47,59,54,57
0955,2008-03-26,35,05,32,21,33,12
0954,2008-03-22,08,05,24,18,57,33
0953,2008-03-19,55,48,01,39,16,42
0952,2008-03-15,54,11,27,18,02,30
0951,2008-03-12,49,24,39,34,55,14
0950,2008-03-08,48,59,49,41,42,23
0949,2008-03-05,44,01,51,52,41,23
0948,2008-03-01,22,44,41,46,52,54
0947,2008-02-27,33,11,03,58,14,05
0946,2008-02-23,59,01,47,05,52,12
0945,2008-02-20,44,08,59,54,04,27
0944,2008-02-16,16,58,43,37,52,59
0943,2008-02-13,47,41,58,03,23,12
0942,2008-02-09,05,52,18,08,59,42
0941,2008-02-06,11,15,10,27,60,53
0940,2008-02-02,25,33,51,31,05,37
0939,2008-01-30,06,23,19,50,37,49
0938,2008-01-26,35,15,27,57,50,59
0937,2008-01-23,22,41,02,30,21,52
0936,2008-01-19,05,33,14,29,44,22
0935,2008-01-16,07,45,18,13,29,31
0934,2008-01-12,25,48,44,03,21,01
0933,2008-01-09,25,39,45,51,08,14
0932,2008-01-05,02,21,42,53,36,17
0931,2007-12-31,17,34,07,36,39,19
0930,2007-12-22,46,20,55,37,28,49
0929,2007-12-19,16,49,35,39,57,27
0928,2007-12-15,32,10,49,60,04,33
0927,2007-12-12,36,26,31,23,19,33
0926,2007-12-08,40,41,34,33,21,59
0925,2007-12-05,52,37,46,08,22,36
0924,2007-12-01,51,27,60,21,20,02
0923,2007-11-28,53,39,02,50,57,15
0922,2007-11-24,41,49,45,19,13,12
0921,2007-11-21,35,41,01,57,09,48
0920,2007-11-17,17,57,55,24,52,05
0919,2007-11-14,43,25,41,60,31,03
0918,2007-11-10,38,44,08,04,12,52
0917,2007-11-07,23,59,25,47,46,30
0916,2007-11-03,33,37,05,38,28,36
0915,2007-10-31,20,28,49,26,17,48
0914,2007-10-27,33,51,09,23,45,12
0913,2007-10-24,30,14,59,36,46,38
0912,2007-10-20,26,21,54,04,19,29
0911,2007-10-17,49,46,01,29,06,28
0910,2007-10-13,53,29,36,03,15,27
0909,2007-10-10,42,17,26,38,28,22
0908,2007-10-06,19,01,09,25,50,52
0907,2007-10-03,09,41,53,37,36,51
0906,2007-09-29,35,39,29,24,07,14
0905,2007-09-26,04,15,57,55,02,16
0904,2007-09-22,32,44,59,53,48,51
0903,2007-09-19,17,05,32,55,20,41
0902,2007-09-15,52,55,23,50,58,18
0901,2007-09-12,32,34,16,13,56,33
0900,2007-09-08,04,21,59,18,38,34
0899,2007-09-05,58,18,54,36,53,20
0898,2007-09-01,04,08,03,54,45,30
0897,2007-08-29,21,57,46,22,07,43
0896,2007-08-25,31,11,41,35,22,05
0895,2007-08-22,02,55,41,43,57,58
0894,2007-08-18,37,24,44,28,20,41
0893,2007-08-15,56,53,51,26,18,03
0892,2007-08-11,01,49,52,42,19,44
0891,2007-08-08,15,22,19,35,34,16
0890,2007-08-04,09,21,22,07,17,54
0889,2007-08-01,34,54,20,39,60,24
0888,2007-07-28,50,24,40,54,52,60
0887,2007-07-25,44,12,32,21,01,34
0886,2007-07-21,50,55,37,33,59,17
0885,2007-07-18,13,04,31,33,47,51
0884,2007-07-14,22,11,02,14,39,12
0883,2007-07-11,21,37,60,32,52,53
0882,2007-07-07,42,45,44,60,41,17
0881,2007-07-04,43,24,04,51,18,56
0880,2007-06-30,51,30,49,25,37,46
0879,2007-06-27,29,10,46,35,42,28
0878,2007-06-23,37,12,43,38,11,54
0877,2007-06-20,13,15,20,31,28,36
0876,2007-06-16,04,12,41,45,60,08
0875,2007-06-13,53,18,36,58,24,20
0874,2007-06-09,59,20,52,42,44,10
0873,2007-06-06,57,59,04,34,19,30
0872,2007-06-02,18,55,58,43,31,05
0871,2007-05-30,17,05,58,01,47,10
0870,2007-05-26,52,08,43,34,40,21
0869,2007-05-23,29,42,50,51,49,27
0868,2007-05-19,57,51,21,22,25,40
0867,2007-05-16,54,26,28,19,44,10
0866,2007-05-12,36,48,27,40,05,46
0865,2007-05-09,27,23,41,51,26,53
0864,2007-05-05,31,11,33,42,57,08
0863,2007-05-02,32,53,50,57,15,24
0862,2007-04-28,19,35,12,02,11,08
0861,2007-04-25,42,40,60,59,47,39
0860,2007-04-23,22,08,17,42,44,02
0859,2007-04-18,46,47,12,57,34,09
0858,2007-04-14,31,37,54,23,04,18
0857,2007-04-11,17,59,49,02,03,50
0856,2007-04-07,11,40,41,47,15,42
0855,2007-04-04,42,03,24,53,43,31
0854,2007-03-31,17,03,24,27,44,25
0853,2007-03-28,51,30,59,46,38,56
0852,2007-03-24,14,38,06,23,44,34
0851,2007-03-21,16,32,35,58,19,03
0850,2007-03-17,60,22,59,25,44,07
0849,2007-03-14,08,39,09,58,44,49
0848,2007-03-10,56,34,17,32,47,27
0847,2007-03-07,42,14,44,27,15,48
0846,2007-03-03,47,54,02,50,03,44
0845,2007-02-28,40,48,19,20,14,52
0844,2007-02-24,54,24,44,57,34,16
0843,2007-02-17,34,48,01,16,45,36
0842,2007-02-14,51,44,60,09,07,30
0841,2007-02-10,36,51,32,22,38,07
0840,2007-02-07,43,29,35,59,31,17
0839,2007-02-03,11,18,08,07,37,43
0838,2007-01-31,09,30,47,38,23,44
0837,2007-01-27,16,05,24,34,06,60
0836,2007-01-24,28,22,38,17,52,59
0835,2007-01-20,58,31,57,49,33,18
0834,2007-01-17,44,10,17,16,51,34
0833,2007-01-13,53,58,57,16,46,13
0832,2007-01-10,17,49,15,33,39,23
0831,2007-01-06,03,50,48,42,32,33
0830,2007-01-03,53,51,02,41,13,49
0829,2006-12-31,32,50,14,47,10,56
0828,2006-12-23,23,50,53,42,28,38
0827,2006-12-21,24,56,30,51,42,18
0826,2006-12-19,45,06,08,07,53,27
0825,2006-12-16,28,21,40,10,41,47
0824,2006-12-13,33,48,06,07,20,09
0823,2006-12-09,15,26,59,01,54,51
0822,2006-12-06,04,17,41,10,27,52
0821,2006-12-02,04,29,38,36,33,42
0820,2006-11-29,17,45,32,21,10,46
0819,2006-11-25,51,05,58,46,25,19
0818,2006-11-22,44,41,22,08,09,25
0817,2006-11-18,34,43,29,30,10,52
0816,2006-11-16,21,47,40,52,30,20
0815,2006-11-11,57,50,09,39,37,19
0814,2006-11-08,11,02,46,50,08,41
0813,2006-11-04,23,15,56,46,09,45
0812,2006-11-01,57,39,54,11,38,13
0811,2006-10-28,32,57,28,41,10,47
0810,2006-10-25,04,33,01,48,05,37
0809,2006-10-21,25,23,11,05,30,15
0808,2006-10-18,15,21,31,46,02,57
0807,2006-10-14,08,27,02,32,56,49
0806,2006-10-12,60,41,47,26,35,18
0805,2006-10-07,30,02,48,60,43,36
0804,2006-10-04,13,59,37,56,03,47
0803,2006-09-30,10,57,28,03,05,21
0802,2006-09-27,14,24,60,06,18,48
0801,2006-09-23,20,22,11,19,48,42
0800,2006-09-20,01,07,56,11,37,38
0799,2006-09-16,29,35,19,57,42,55
0798,2006-09-13,32,09,04,52,29,03
0797,2006-09-09,58,48,52,47,12,06
0796,2006-09-06,19,24,43,34,39,05
0795,2006-09-02,14,36,21,29,26,48
0794,2006-08-30,56,47,55,38,42,03
0793,2006-08-26,03,51,33,15,16,57
0792,2006-08-23,43,56,09,45,29,34
0791,2006-08-19,42,35,19,09,14,58
0790,2006-08-16,22,02,19,28,43,06
0789,2006-08-12,60,39,31,38,06,50
0788,2006-08-09,31,57,17,19,29,44
0787,2006-08-05,37,31,20,60,34,54
0786,2006-08-02,27,31,26,11,10,41
0785,2006-07-29,35,05,37,08,48,17
0784,2006-07-26,42,56,08,37,27,53
0783,2006-07-22,43,21,48,08,04,32
0782,2006-07-19,11,23,59,42,35,02
0781,2006-07-15,10,54,08,39,56,13
0780,2006-07-12,10,50,28,51,59,07
0779,2006-07-08,36,54,52,25,29,26
0778,2006-07-05,45,20,36,37,31,51
0777,2006-07-01,14,50,23,02,28,56
0776,2006-06-28,57,35,60,41,03,15
0775,2006-06-24,27,12,46,47,42,50
0774,2006-06-21,37,05,54,58,46,10
0773,2006-06-17,03,05,51,29,34,14
0772,2006-06-14,38,51,52,60,10,35
0771,2006-06-10,29,46,34,47,21,14
0770,2006-06-07,04,34,25,35,48,12
0769,2006-06-03,20,21,50,29,12,16
0768,2006-05-31,33,37,59,30,04,08
0767,2006-05-27,22,50,32,38,54,15
0766,2006-05-24,01,50,19,42,24,58
0765,2006-05-21,03,37,50,16,30,10
0764,2006-05-18,07,03,55,47,53,45
0763,2006-05-13,40,47,01,48,09,26
0762,2006-05-10,39,09,21,12,37,54
0761,2006-05-06,56,29,17,13,27,40
0760,2006-05-03,12,17,60,44,46,45
0759,2006-04-29,59,39,30,31,48,45
0758,2006-04-26,47,59,01,23,36,43
0757,2006-04-22,17,32,12,18,58,30
0756,2006-04-19,37,50,41,05,38,27
0755,2006-04-15,59,30,47,12,04,49
0754,2006-04-12,04,42,34,50,03,13
0753,2006-04-08,59,35,43,22,07,02
0752,2006-04-05,25,04,29,42,24,23
0751,2006-04-01,04,25,38,50,20,07
0750,2006-03-29,58,17,54,10,42,33
0749,2006-03-25,24,47,04,57,48,50
0748,2006-03-22,01,07,19,51,35,02
0747,2006-03-18,21,23,56,12,03,02
0746,2006-03-15,49,12,10,57,25,01
0745,2006-03-11,21,57,37,16,43,02
0744,2006-03-08,26,46,12,23,39,04
0743,2006-03-04,54,20,32,60,25,23
0742,2006-03-01,34,17,07,41,02,50
0741,2006-02-25,26,39,27,24,59,36
0740,2006-02-22,29,47,12,50,16,28
0739,2006-02-18,06,45,56,49,35,10
0738,2006-02-15,15,30,14,42,26,54
0737,2006-02-11,33,12,24,38,11,32
0736,2006-02-08,01,21,38,41,56,49
0735,2006-02-04,40,42,15,52,38,09
0734,2006-02-01,44,45,27,29,43,54
0733,2006-01-28,12,26,31,43,46,02
0732,2006-01-25,49,19,53,50,17,06
0731,2006-01-21,35,06,15,23,28,16
0730,2006-01-18,45,15,02,54,16,50
0729,2006-01-14,33,56,18,57,43,05
0728,2006-01-11,44,42,13,08,24,32
0727,2006-01-07,14,42,12,04,59,30
0726,2006-01-04,40,47,01,05,07,37
0725,2005-12-31,49,09,03,35,37,41
0724,2005-12-21,34,51,55,17,48,27
0723,2005-12-17,16,06,52,01,36,50
0722,2005-12-14,60,36,57,18,44,09
0721,2005-12-10,14,03,23,55,36,25
0720,2005-12-07,12,56,44,51,31,54
0719,2005-12-03,39,47,37,53,32,03
0718,2005-11-30,07,35,21,39,58,33
0717,2005-11-26,28,35,41,17,06,23
0716,2005-11-23,29,02,07,50,16,32
0715,2005-11-19,54,36,12,04,33,24
0714,2005-11-16,17,53,39,08,07,35
0713,2005-11-12,46,01,26,16,12,54
0712,2005-11-09,35,07,53,58,08,43
0711,2005-11-05,10,05,41,59,40,33
0710,2005-10-29,46,25,05,49,39,34
0709,2005-10-26,29,22,44,09,06,04
0708,2005-10-22,45,13,39,47,09,07
0707,2005-10-19,51,08,01,43,10,36
0706,2005-10-15,22,10,17,07,02,60
0705,2005-10-08,03,15,11,13,26,43
0704,2005-10-05,02,27,50,34,18,04
0703,2005-10-01,30,24,02,45,11,27
0702,2005-09-28,01,56,18,58,45,57
0701,2005-09-24,13,01,31,23,60,48
0700,2005-09-21,02,03,24,40,31,14
0699,2005-09-19,53,17,50,23,54,48
0698,2005-09-14,22,08,27,43,55,12
0697,2005-09-10,53,35,32,31,28,51
0696,2005-09-03,37,16,34,57,53,09
0695,2005-08-31,13,40,21,52,06,11
0694,2005-08-27,15,19,29,53,37,41
0693,2005-08-24,14,50,41,17,31,13
0692,2005-08-20,33,18,60,11,58,57
0691,2005-08-17,55,16,58,08,37,50
0690,2005-08-13,15,41,08,47,12,53
0689,2005-08-10,06,60,07,31,49,51
0688,2005-08-06,47,30,52,11,21,35
0687,2005-08-03,59,48,01,07,41,14
0686,2005-07-30,33,05,04,54,15,26
0685,2005-07-27,33,27,05,56,12,43
0684,2005-07-23,50,37,33,40,19,17
0683,2005-07-20,43,40,12,11,02,35
0682,2005-07-16,60,37,47,36,04,27
0681,2005-07-13,59,21,53,25,58,38
0680,2005-07-09,44,02,26,05,03,22
0679,2005-07-06,37,21,54,03,58,25
0678,2005-07-02,44,46,31,14,40,42
0677,2005-06-29,25,10,48,08,32,55
0676,2005-06-25,49,32,15,09,41,42
0675,2005-06-22,50,42,30,25,43,24
0674,2005-06-18,22,32,18,29,42,38
0673,2005-06-15,06,40,37,11,20,34
0672,2005-06-11,43,34,53,38,28,24
0671,2005-06-08,27,16,39,51,09,38
0670,2005-06-04,42,59,58,37,48,22
0669,2005-06-01,07,41,24,40,49,27
0668,2005-05-28,49,33,56,02,14,01
0667,2005-05-25,05,23,16,04,49,01
0666,2005-05-21,07,26,16,29,45,55
0665,2005-05-18,08,47,07,48,25,18
0664,2005-05-14,12,01,55,59,38,36
0663,2005-05-11,01,49,30,55,27,51
0662,2005-05-07,04,60,56,25,18,23
0661,2005-05-04,42,40,27,04,55,36
0660,2005-04-30,53,05,38,54,46,11
0659,2005-04-27,14,29,40,34,51,52
0658,2005-04-23,41,20,36,03,11,06
0657,2005-04-20,20,59,58,33,60,16
0656,2005-04-16,59,37,46,36,35,51
0655,2005-04-13,26,39,01,37,43,48
0654,2005-04-09,10,11,56,40,41,06
0653,2005-04-06,31,24,19,34,09,05
0652,2005-04-02,24,18,57,56,10,20
0651,2005-03-30,39,45,28,26,48,60
0650,2005-03-26,53,59,25,29,10,24
0649,2005-03-23,09,54,41,48,33,24
0648,2005-03-19,05,48,23,42,45,29
0647,2005-03-16,56,19,11,14,12,54
0646,2005-03-12,13,47,60,32,49,10
0645,2005-03-09,52,48,24,53,54,03
0644,2005-03-05,57,29,31,27,34,14
0643,2005-03-02,14,45,24,37,40,42
0642,2005-02-26,51,17,56,36,44,40
0641,2005-02-23,17,13,33,09,01,34
0640,2005-02-19,12,42,59,46,19,60
0639,2005-02-16,51,39,35,60,45,13
0638,2005-02-12,42,10,50,41,11,36
0637,2005-02-05,52,58,43,48,11,18
0636,2005-02-02,30,32,34,50,28,26
0635,2005-01-29,49,42,37,08,20,26
0634,2005-01-26,13,41,24,42,10,56
0633,2005-01-22,27,46,05,50,11,22
0632,2005-01-19,02,54,48,51,19,28
0631,2005-01-15,01,28,47,20,44,32
0630,2005-01-12,16,53,20,60,12,45
0629,2005-01-08,40,47,39,16,51,15
0628,2005-01-05,08,16,22,56,58,30
0627,2004-12-29,19,13,45,58,56,01
0626,2004-12-22,49,08,22,18,07,39
0625,2004-12-18,59,12,32,42,24,40
0624,2004-12-15,39,23,34,52,08,43
0623,2004-12-11,42,23,55,30,09,49
0622,2004-12-08,59,27,19,29,50,38
0621,2004-12-04,29,31,50,26,57,49
0620,2004-12-01,22,01,29,13,32,03
0619,2004-11-27,16,12,46,14,08,19
0618,2004-11-24,60,10,03,08,24,13
0617,2004-11-20,25,05,49,36,33,03
0616,2004-11-17,24,16,26,54,12,02
0615,2004-11-13,27,31,08,10,51,05
0614,2004-11-10,60,31,12,48,57,16
0613,2004-11-06,54,55,13,44,06,19
0612,2004-11-03,55,33,15,50,53,18
0611,2004-10-30,22,21,33,16,48,49
0610,2004-10-27,25,49,30,43,47,45
0609,2004-10-23,15,02,59,60,06,58
0608,2004-10-20,30,06,37,19,24,13
0607,2004-10-16,06,59,11,27,19,41
0606,2004-10-13,41,06,23,55,32,35
0605,2004-10-09,44,52,53,04,49,24
0604,2004-10-06,41,49,51,25,15,46
0603,2004-10-02,04,08,11,29,12,44
0602,2004-09-29,38,60,13,07,55,46
0601,2004-09-25,37,19,29,30,10,22
0600,2004-09-22,18,39,54,34,31,16
0599,2004-09-18,06,45,51,09,23,04
0598,2004-09-15,05,16,53,38,50,34
0597,2004-09-11,42,40,27,22,56,29
0596,2004-09-08,43,60,28,11,54,14
0595,2004-09-04,54,02,43,01,50,25
0594,2004-09-01,10,53,55,29,13,47
0593,2004-08-28,27,29,01,59,25,49
0592,2004-08-25,55,14,59,47,13,42
0591,2004-08-21,58,03,18,50,34,01
0590,2004-08-18,25,51,05,18,04,28
0589,2004-08-14,13,07,33,59,06,08
0588,2004-08-11,45,13,46,55,53,11
0587,2004-08-07,30,02,36,18,60,29
0586,2004-08-04,45,38,13,11,54,39
0585,2004-07-31,24,39,12,33,57,36
0584,2004-07-28,30,53,23,07,32,08
0583,2004-07-24,55,06,41,20,43,07
0582,2004-07-21,13,40,29,59,45,51
0581,2004-07-17,30,25,52,14,39,17
0580,2004-07-14,38,16,18,28,15,47
0579,2004-07-10,15,34,39,17,04,09
0578,2004-07-07,48,03,58,18,56,23
0577,2004-07-03,31,47,28,23,08,24
0576,2004-06-30,18,43,52,39,07,08
0575,2004-06-26,18,29,21,48,35,05
0574,2004-06-23,32,23,02,10,44,17
0573,2004-06-19,59,29,17,06,40,22
0572,2004-06-16,33,03,20,60,09,16
0571,2004-06-12,14,31,12,13,51,50
0570,2004-06-09,35,32,36,33,51,15
0569,2004-06-05,32,15,14,09,03,57
0568,2004-06-02,25,41,17,29,13,22
0567,2004-05-29,57,58,11,38,41,31
0566,2004-05-26,17,06,20,18,13,37
0565,2004-05-22,31,37,35,07,45,34
0564,2004-05-19,38,13,32,20,10,49
0563,2004-05-15,34,08,23,44,51,05
0562,2004-05-12,37,35,23,16,57,55
0561,2004-05-08,39,49,36,20,55,01
0560,2004-05-05,32,18,11,30,02,58
0559,2004-05-01,53,25,36,13,17,06
0558,2004-04-28,59,57,07,58,31,14
0557,2004-04-24,18,49,38,23,08,12
0556,2004-04-21,08,45,30,33,17,10
0555,2004-04-17,49,05,23,33,45,31
0554,2004-04-14,47,29,31,15,60,42
0553,2004-04-10,43,46,58,53,54,04
0552,2004-04-07,22,54,52,47,49,09
0551,2004-04-03,56,48,57,21,12,46
0550,2004-03-31,17,56,16,38,39,45
0549,2004-03-27,13,51,58,22,46,08
0548,2004-03-24,51,49,14,47,59,58
0547,2004-03-20,04,59,13,53,28,30
0546,2004-03-17,46,04,54,17,13,05
0545,2004-03-13,43,35,57,29,40,17
0544,2004-03-10,11,33,56,47,17,34
0543,2004-03-06,35,54,37,42,49,46
0542,2004-03-03,49,04,19,28,35,06
0541,2004-02-28,58,57,27,13,49,52
0540,2004-02-21,22,04,30,44,28,49
0539,2004-02-18,16,50,55,06,47,19
0538,2004-02-14,45,43,56,25,52,03
0537,2004-02-11,37,03,19,34,39,07
0536,2004-02-07,14,22,25,15,37,23
0535,2004-02-04,49,14,47,56,06,28
0534,2004-01-31,48,57,23,08,31,03
0533,2004-01-28,27,18,13,59,21,53
0532,2004-01-24,13,04,12,53,09,52
0531,2004-01-21,03,01,35,07,18,50
0530,2004-01-17,32,21,25,01,06,49
0529,2004-01-14,56,45,13,33,38,01
0528,2004-01-10,34,28,37,12,08,31
0527,2004-01-07,17,14,50,52,06,26
0526,2004-01-03,03,59,21,36,55,31
0525,2003-12-27,26,32,24,49,08,10
0524,2003-12-20,47,29,34,48,19,41
0523,2003-12-17,45,58,40,39,28,44
0522,2003-12-13,49,52,15,25,14,06
0521,2003-12-10,28,32,38,25,15,45
0520,2003-12-06,32,34,17,35,09,12
0519,2003-12-03,09,36,15,19,42,22
0518,2003-11-29,44,08,05,15,18,10
0517,2003-11-26,51,32,08,28,38,07
0516,2003-11-22,24,05,34,13,35,33
0515,2003-11-19,39,16,57,15,45,48
0514,2003-11-15,15,52,40,36,51,42
0513,2003-11-12,46,10,27,19,33,39
0512,2003-11-08,08,40,58,04,53,31
0511,2003-11-05,08,36,34,37,03,04
0510,2003-11-01,30,45,58,01,04,41
0509,2003-10-29,32,55,34,35,28,33
0508,2003-10-25,46,56,05,15,45,10
0507,2003-10-22,44,58,05,27,33,03
0506,2003-10-18,31,37,34,15,38,04
0505,2003-10-15,47,20,52,03,46,28
